,STND_YMD,PRD_CD,NET_PRD_SAL_AMT,SAL_UTPR,vgn_bgn_dttm,vgn_end_dttm,group,post
0,2019-03-21,110651228,222849.0,270000.0,2021-05-06,2023-05-05,1,0
1,2019-03-22,110651228,166500.0,270000.0,2021-05-06,2023-05-05,1,0
2,2019-03-23,110651228,201150.0,135000.0,2021-05-06,2023-05-05,1,0
3,2019-03-24,110651228,124920.0,270000.0,2021-05-06,2023-05-05,1,0
4,2019-03-25,110651228,1671390.0,2565000.0,2021-05-06,2023-05-05,1,0
5,2019-03-26,110651228,1217349.0,2160000.0,2021-05-06,2023-05-05,1,0
6,2019-03-28,110651228,319140.0,405000.0,2021-05-06,2023-05-05,1,0
7,2019-03-29,110651228,847521.0,1620000.0,2021-05-06,2023-05-05,1,0
8,2019-03-30,110651228,541620.0,810000.0,2021-05-06,2023-05-05,1,0
9,2019-03-31,110651228,1419210.0,2025000.0,2021-05-06,2023-05-05,1,0
10,2019-04-01,110651228,4072518.0,4590000.0,2021-05-06,2023-05-05,1,0
11,2019-04-02,110651228,4870314.0,5265000.0,2021-05-06,2023-05-05,1,0
12,2019-04-03,110651228,3889692.0,5130000.0,2021-05-06,2023-05-05,1,0
13,2019-04-04,110651228,4537233.0,5940000.0,2021-05-06,2023-05-05,1,0
14,2019-04-05,110651228,3433779.0,5130000.0,2021-05-06,2023-05-05,1,0
15,2019-04-06,110651228,2480778.0,3105000.0,2021-05-06,2023-05-05,1,0
16,2019-04-07,110651228,6802200.0,8505000.0,2021-05-06,2023-05-05,1,0
17,2019-04-08,110651228,4166091.0,4725000.0,2021-05-06,2023-05-05,1,0
18,2019-04-09,110651228,3356280.0,4725000.0,2021-05-06,2023-05-05,1,0
19,2019-04-10,110651228,4257936.0,5805000.0,2021-05-06,2023-05-05,1,0
20,2019-04-11,110651228,4452606.0,6480000.0,2021-05-06,2023-05-05,1,0
21,2019-04-12,110651228,4145256.0,5670000.0,2021-05-06,2023-05-05,1,0
22,2019-04-13,110651228,4254876.0,5400000.0,2021-05-06,2023-05-05,1,0
23,2019-04-14,110651228,5416785.0,7560000.0,2021-05-06,2023-05-05,1,0
24,2019-04-15,110651228,5707512.0,6750000.0,2021-05-06,2023-05-05,1,0
25,2019-04-16,110651228,2661768.0,3645000.0,2021-05-06,2023-05-05,1,0
26,2019-04-17,110651228,4238586.0,5535000.0,2021-05-06,2023-05-05,1,0
27,2019-04-18,110651228,3507579.0,4995000.0,2021-05-06,2023-05-05,1,0
28,2019-04-19,110651228,2700180.0,4050000.0,2021-05-06,2023-05-05,1,0
29,2019-04-20,110651228,2794014.0,3375000.0,2021-05-06,2023-05-05,1,0
30,2019-04-21,110651228,2746548.0,4185000.0,2021-05-06,2023-05-05,1,0
31,2019-04-22,110651228,1941849.0,2970000.0,2021-05-06,2023-05-05,1,0
32,2019-04-23,110651228,2073699.0,2565000.0,2021-05-06,2023-05-05,1,0
33,2019-04-24,110651228,1422531.0,2160000.0,2021-05-06,2023-05-05,1,0
34,2019-04-25,110651228,3208221.0,3915000.0,2021-05-06,2023-05-05,1,0
35,2019-04-26,110651228,1698696.0,1755000.0,2021-05-06,2023-05-05,1,0
36,2019-04-27,110651228,1701144.0,1485000.0,2021-05-06,2023-05-05,1,0
37,2019-04-28,110651228,1145187.0,2025000.0,2021-05-06,2023-05-05,1,0
38,2019-04-29,110651228,2319714.0,2970000.0,2021-05-06,2023-05-05,1,0
39,2019-04-30,110651228,2740131.0,4320000.0,2021-05-06,2023-05-05,1,0
40,2019-05-01,110651228,501093.0,675000.0,2021-05-06,2023-05-05,1,0
41,2019-05-03,110651228,129717.0,135000.0,2021-05-06,2023-05-05,1,0
42,2019-05-08,110651228,278775.0,270000.0,2021-05-06,2023-05-05,1,0
43,2019-05-09,110651228,86850.0,135000.0,2021-05-06,2023-05-05,1,0
44,2019-05-10,110651228,545571.0,810000.0,2021-05-06,2023-05-05,1,0
45,2019-05-11,110651228,1040247.0,1485000.0,2021-05-06,2023-05-05,1,0
46,2019-05-12,110651228,443727.0,675000.0,2021-05-06,2023-05-05,1,0
47,2019-05-13,110651228,179811.0,270000.0,2021-05-06,2023-05-05,1,0
48,2019-05-14,110651228,108000.0,135000.0,2021-05-06,2023-05-05,1,0
49,2019-05-17,110651228,538578.0,675000.0,2021-05-06,2023-05-05,1,0
50,2019-05-18,110651228,135000.0,135000.0,2021-05-06,2023-05-05,1,0
51,2019-05-20,110651228,81270.0,135000.0,2021-05-06,2023-05-05,1,0
52,2019-05-21,110651228,135000.0,135000.0,2021-05-06,2023-05-05,1,0
53,2019-05-22,110651228,94500.0,135000.0,2021-05-06,2023-05-05,1,0
54,2019-05-23,110651228,135000.0,135000.0,2021-05-06,2023-05-05,1,0
55,2019-05-24,110651228,309096.0,405000.0,2021-05-06,2023-05-05,1,0
56,2019-05-25,110651228,517050.0,675000.0,2021-05-06,2023-05-05,1,0
57,2019-05-26,110651228,135000.0,135000.0,2021-05-06,2023-05-05,1,0
58,2019-05-27,110651228,405000.0,405000.0,2021-05-06,2023-05-05,1,0
59,2019-05-28,110651228,701568.0,540000.0,2021-05-06,2023-05-05,1,0
60,2019-05-29,110651228,261567.0,270000.0,2021-05-06,2023-05-05,1,0
61,2019-05-30,110651228,202500.0,270000.0,2021-05-06,2023-05-05,1,0
62,2019-05-31,110651228,697293.0,675000.0,2021-05-06,2023-05-05,1,0
63,2019-06-01,110651228,1408860.0,1485000.0,2021-05-06,2023-05-05,1,0
64,2019-06-02,110651228,1278360.0,1215000.0,2021-05-06,2023-05-05,1,0
65,2019-06-03,110651228,1822905.0,1620000.0,2021-05-06,2023-05-05,1,0
66,2019-06-04,110651228,1294470.0,1215000.0,2021-05-06,2023-05-05,1,0
67,2019-06-05,110651228,4725378.0,4995000.0,2021-05-06,2023-05-05,1,0
68,2019-06-06,110651228,4769487.0,5265000.0,2021-05-06,2023-05-05,1,0
69,2019-06-07,110651228,6582042.0,7020000.0,2021-05-06,2023-05-05,1,0
70,2019-06-08,110651228,4802319.0,5130000.0,2021-05-06,2023-05-05,1,0
71,2019-06-09,110651228,2077650.0,1890000.0,2021-05-06,2023-05-05,1,0
72,2019-06-10,110651228,1331406.0,1215000.0,2021-05-06,2023-05-05,1,0
73,2019-06-11,110651228,1555038.0,1620000.0,2021-05-06,2023-05-05,1,0
74,2019-06-12,110651228,1419678.0,1485000.0,2021-05-06,2023-05-05,1,0
75,2019-06-13,110651228,1601163.0,1755000.0,2021-05-06,2023-05-05,1,0
76,2019-06-14,110651228,1408176.0,1485000.0,2021-05-06,2023-05-05,1,0
77,2019-06-15,110651228,1609695.0,1755000.0,2021-05-06,2023-05-05,1,0
78,2019-06-16,110651228,1425393.0,1485000.0,2021-05-06,2023-05-05,1,0
79,2019-06-17,110651228,1430577.0,1485000.0,2021-05-06,2023-05-05,1,0
80,2019-06-18,110651228,1978344.0,2160000.0,2021-05-06,2023-05-05,1,0
81,2019-06-19,110651228,1927224.0,2025000.0,2021-05-06,2023-05-05,1,0
82,2019-06-20,110651228,1309230.0,1215000.0,2021-05-06,2023-05-05,1,0
83,2019-06-21,110651228,1340253.0,1350000.0,2021-05-06,2023-05-05,1,0
84,2019-06-22,110651228,1275273.0,1350000.0,2021-05-06,2023-05-05,1,0
85,2019-06-23,110651228,674685.0,810000.0,2021-05-06,2023-05-05,1,0
86,2019-06-24,110651228,2833155.0,2970000.0,2021-05-06,2023-05-05,1,0
87,2019-06-25,110651228,2506698.0,2430000.0,2021-05-06,2023-05-05,1,0
88,2019-06-26,110651228,1168632.0,1215000.0,2021-05-06,2023-05-05,1,0
89,2019-06-27,110651228,1451250.0,1350000.0,2021-05-06,2023-05-05,1,0
90,2019-06-28,110651228,1682748.0,1755000.0,2021-05-06,2023-05-05,1,0
91,2019-06-29,110651228,2317662.0,2025000.0,2021-05-06,2023-05-05,1,0
92,2019-06-30,110651228,524997.0,540000.0,2021-05-06,2023-05-05,1,0
93,2019-07-01,110651228,434997.0,675000.0,2021-05-06,2023-05-05,1,0
94,2019-07-02,110651228,424179.0,540000.0,2021-05-06,2023-05-05,1,0
95,2019-07-03,110651228,94500.0,135000.0,2021-05-06,2023-05-05,1,0
96,2019-07-04,110651228,533259.0,540000.0,2021-05-06,2023-05-05,1,0
97,2019-07-05,110651228,87624.0,135000.0,2021-05-06,2023-05-05,1,0
98,2019-07-06,110651228,270000.0,270000.0,2021-05-06,2023-05-05,1,0
99,2019-07-08,110651228,219141.0,270000.0,2021-05-06,2023-05-05,1,0
100,2019-07-09,110651228,135000.0,135000.0,2021-05-06,2023-05-05,1,0
101,2019-07-10,110651228,256302.0,405000.0,2021-05-06,2023-05-05,1,0
102,2019-07-12,110651228,92880.0,135000.0,2021-05-06,2023-05-05,1,0
103,2019-07-13,110651228,108000.0,135000.0,2021-05-06,2023-05-05,1,0
