,PRD_CD,PRD_NM,vgn_bgn_dttm,vgn_end_dttm
0,202100018.0,프로젝트아모레 퍼즐우드 핸드크림 50ml,2022-07-04,2024-05-31
1,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
2,110770572.0,바이탈뷰티 메타그린 슬림 14일(디자인),2020-02-10,2025-02-09
3,110770546.0,바이탈뷰티 메타그린 슬림 60일 기획세트,2020-02-10,2025-02-09
4,110770546.0,바이탈뷰티 메타그린 슬림 60일 기획세트,2020-02-10,2025-02-09
5,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
6,110770642.0,바이탈뷰티 메타그린 슬림업 30일 (올리브영,2020-02-10,2025-02-09
7,110770608.0,바이탈뷰티 메타그린 슬림 180T 홀리데이,2020-02-10,2025-02-09
8,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
9,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
10,110770641.0,바이탈뷰티 메타그린 슬림업 14일 (올리브영,2020-02-10,2025-02-09
11,110770546.0,바이탈뷰티 메타그린 슬림 60일 기획세트,2020-02-10,2025-02-09
12,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
13,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
14,110770472.0,바이탈뷰티 메타그린 슬림 90일,2020-02-10,2025-02-09
15,110770638.0,바이탈뷰티 메타그린 슬림업 60일,2020-02-10,2025-02-09
16,110770517.0,바이탈뷰티 메타그린 슬림 60일_(기획세트),2020-02-10,2025-02-09
17,110770388.0,바이탈뷰티 메타그린 슬림 30일 (소셜전용),2020-02-10,2025-02-09
18,110771046.0,바이탈뷰티 메타그린 슬림업 30+7일기획(OY),2020-02-10,2025-02-09
19,110770655.0,바이탈뷰티 메타그린 슬림업 100일 (라이브,2020-02-10,2025-02-09
20,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
21,110771097.0,바이탈뷰티 메타그린 슬림업 30+10일 기획(OY),2020-02-10,2025-02-09
22,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
23,110770643.0,바이탈뷰티 메타그린 슬림업 35일,2020-02-10,2025-02-09
24,110770638.0,바이탈뷰티 메타그린 슬림업 60일,2020-02-10,2025-02-09
25,110770638.0,바이탈뷰티 메타그린 슬림업 60일,2020-02-10,2025-02-09
26,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
27,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
28,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
29,110770517.0,바이탈뷰티 메타그린 슬림 60일_(기획세트),2020-02-10,2025-02-09
30,110770899.0,바이탈뷰티 메타그린 슬림업 33일 굿즈기획(마멜)_OY,2020-02-10,2025-02-09
31,110771139.0,바이탈뷰티 메타그린 슬림업 14일 OY(AD)_24,2020-02-10,2025-02-09
32,110770546.0,바이탈뷰티 메타그린 슬림 60일 기획세트,2020-02-10,2025-02-09
33,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
34,110771152.0,바이탈뷰티 메타그린 슬림업 30일 굿즈기획(쿠로미OY,2020-02-10,2025-02-09
35,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
36,110770503.0,바이탈뷰티 메타그린 슬림 35일,2020-02-10,2025-02-09
37,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
38,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
39,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
40,110770634.0,바이탈뷰티 메타그린 슬림업 60일 (리필,2020-02-10,2025-02-09
41,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
42,110770499.0,바이탈뷰티 메타그린 슬림 60일 (추석세트20년),2020-02-10,2025-02-09
43,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
44,110771133.0,바이탈뷰티 메타그린 슬림업 AD 30일(24),2020-02-10,2025-02-09
45,110770259.0,바이탈뷰티 메타그린 슬림 14일,2020-02-10,2025-02-09
46,110770985.0,바이탈뷰티 메타그린 슬림업 2입기획 (마멜)_EC,2020-02-10,2025-02-09
47,110770499.0,바이탈뷰티 메타그린 슬림 60일 (추석세트20년),2020-02-10,2025-02-09
48,110770517.0,바이탈뷰티 메타그린 슬림 60일_(기획세트),2020-02-10,2025-02-09
49,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
50,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
51,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
52,110771139.0,바이탈뷰티 메타그린 슬림업 14일 OY(AD)_24,2020-02-10,2025-02-09
53,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
54,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
55,110770259.0,바이탈뷰티 메타그린 슬림 14일,2020-02-10,2025-02-09
56,110770472.0,바이탈뷰티 메타그린 슬림 90일,2020-02-10,2025-02-09
57,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
58,110771061.0,바이탈뷰티 메타그린 슬림업 30일 굿즈기획(포차코)_OY,2020-02-10,2025-02-09
59,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
60,110770589.0,바이탈뷰티 메타그린 슬림 60일,2020-02-10,2025-02-09
61,110770259.0,바이탈뷰티 메타그린 슬림 14일,2020-02-10,2025-02-09
62,110771139.0,바이탈뷰티 메타그린 슬림업 14일 OY(AD)_24,2020-02-10,2025-02-09
63,110770517.0,바이탈뷰티 메타그린 슬림 60일_(기획세트),2020-02-10,2025-02-09
64,110770639.0,바이탈뷰티 메타그린 슬림업 90일,2020-02-10,2025-02-09
65,110770589.0,바이탈뷰티 메타그린 슬림 60일,2020-02-10,2025-02-09
66,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
67,110770499.0,바이탈뷰티 메타그린 슬림 60일 (추석세트20년),2020-02-10,2025-02-09
68,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
69,110771136.0,바이탈뷰티 메타그린 슬림업 60일 리필 AD(24),2020-02-10,2025-02-09
70,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
71,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
72,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
73,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
74,110770546.0,바이탈뷰티 메타그린 슬림 60일 기획세트,2020-02-10,2025-02-09
75,110771139.0,바이탈뷰티 메타그린 슬림업 14일 OY(AD)_24,2020-02-10,2025-02-09
76,110770438.0,바이탈뷰티 메타그린 슬림 14일*3개,2020-02-10,2025-02-09
77,110770587.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
78,110771139.0,바이탈뷰티 메타그린 슬림업 14일 OY(AD)_24,2020-02-10,2025-02-09
79,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
80,110770499.0,바이탈뷰티 메타그린 슬림 60일 (추석세트20년),2020-02-10,2025-02-09
81,110770261.0,바이탈뷰티 메타그린 슬림 30일,2020-02-10,2025-02-09
82,110770637.0,바이탈뷰티 메타그린 슬림업 30일,2020-02-10,2025-02-09
